demand_heat,heat_pump,district_heating_industry,district_heating
-36.66319315,9.2,27.46319315,-0.0
-66.38425753,9.2,57.18425753,-0.0
-62.26851506,9.2,53.068515059999996,-0.0
-73.4317082,9.2,64.2317082,-0.0
-57.10532191,9.2,47.90532191,-0.0
-77.00809448,9.2,67.80809448,-0.0
-66.01851506,9.2,56.818515059999996,-0.0
-56.26851506,9.2,47.068515059999996,-0.0
-58.51851506,9.2,49.318515059999996,-0.0
-48.10532191,9.2,38.90532191,-0.0
-52.04745067,9.2,42.84745067,-0.0
-48.5763863,9.2,39.37638630000001,-0.0
-49.04745067,9.2,39.84745067,-0.0
-46.88425753,9.2,37.68425753,-0.0
-56.65277258,9.2,47.45277258,-0.0
-42.85532191,9.2,33.65532191,-0.0
-45.10532191,9.2,35.90532191,-0.0
-13.13425753,9.2,3.93425753,-0.0
-17.54745068,9.2,8.347450680000001,-0.0
-10.13425753,9.2,0.93425753,-0.0
-5.442128765,5.442128765,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-34.97106438,9.2,25.771064380000002,-0.0
-65.16319315,9.2,55.963193149999995,-0.0
-71.37383697,9.2,62.173836969999996,-0.0
-58.98957944,9.2,49.78957944,-0.0
-56.44212877,9.2,47.242128769999994,-0.0
-54.94212877,9.2,45.742128769999994,-0.0
-64.15277258,9.2,54.95277258,-0.0
-62.73957944,9.2,53.53957944,-0.0
-54.48957944,9.2,45.28957944,-0.0
-71.28703011,9.2,62.08703011,-0.0
-44.91319315,9.2,35.713193149999995,-0.0
-45.5763863,9.2,36.37638630000001,-0.0
-48.76851506,9.2,39.568515059999996,-0.0
-44.35532191,9.2,35.15532191,-0.0
-73.45022326,9.2,64.25022326,-0.0
-55.23957944,9.2,46.03957944,-0.0
-40.60532191,9.2,31.40532191,-0.0
-21.29745068,9.2,12.097450680000001,-0.0
-16.79745068,9.2,7.5974506800000015,-0.0
-10.60532191,9.2,1.4053219100000014,-0.0
-6.942128765,6.942128765,0.0,-0.0
0.0,0.0,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
-30.75,9.2,21.55,-0.0
-71.16319315,9.2,61.963193149999995,-0.0
-59.54745068,9.2,50.347450679999994,-0.0
-68.37383697,9.2,59.173836969999996,-0.0
-53.54745067,9.2,44.34745067,-0.0
-68.46064382,9.2,59.26064382,-0.0
-77.09490135,9.2,67.89490135,-0.0
-58.04745067,9.2,48.84745067,-0.0
-67.53703011,9.2,58.33703011,-0.0
-72.22915888,9.2,63.02915888,-0.0
-49.98957944,9.2,40.78957944,-0.0
-40.69212877,9.2,31.492128769999997,-0.0
-55.71064382,9.2,46.51064382,-0.0
-65.37383697,9.2,56.173836969999996,-0.0
-40.13425753,9.2,30.93425753,-0.0
-44.16319315,9.2,34.963193149999995,-0.0
-56.9317082,9.2,47.7317082,-0.0
-14.91319315,9.2,5.71319315,-0.0
-6.942128765,6.942128765,0.0,-0.0
-10.13425753,9.2,0.93425753,-0.0
0.0,0.0,0.0,-0.0
-0.75,0.75,0.0,-0.0
0.0,0.0,0.0,-0.0
-0.75,0.75,0.0,-0.0
-35.16319315,9.2,25.96319315,-0.0
-75.38425755,9.2,66.18425755,-0.0
-55.60532191,9.2,46.40532191,-0.0
-52.60532191,9.2,43.40532191,-0.0
-59.8263863,9.2,50.62638630000001,-0.0
-49.88425753,9.2,40.68425753,-0.0
-51.19212877,9.2,41.992128769999994,-0.0
